epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1747.14,1.21127,0.62184,1.11607,0.99862,0.99074,0.995,0.64275,0.8362,1.53176,0.75121,0.0011684,0.0011684,0.0011684
44,1782.64,1.19453,0.64311,1.11297,0.99966,1,0.995,0.66273,0.82862,1.40084,0.75932,0.0011486,0.0011486,0.0011486
45,1818.96,1.16286,0.62995,1.1099,0.98163,0.9896,0.99379,0.58472,0.94384,1.93371,0.79998,0.0011288,0.0011288,0.0011288
46,1854.32,1.20232,0.61718,1.12029,0.97409,0.69612,0.98538,0.60978,0.88622,2.40155,0.7628,0.001109,0.001109,0.001109
47,1889.03,1.15689,0.61324,1.0955,0.04693,0.96296,0.32563,0.1977,0.89204,3.37271,0.82468,0.0010892,0.0010892,0.0010892
48,1924.06,1.17749,0.62665,1.10768,0.39184,0.88889,0.80347,0.46462,0.9123,3.18321,0.83168,0.0010694,0.0010694,0.0010694
49,1959.16,1.2144,0.62502,1.14376,0.99064,0.97972,0.99369,0.60899,0.90627,2.23243,0.78812,0.0010496,0.0010496,0.0010496
50,1994.17,1.25072,0.64183,1.13937,0.87197,0.97222,0.98976,0.61127,0.91036,25.5075,0.775,0.0010298,0.0010298,0.0010298
51,2025.48,1.21621,0.61438,1.11811,1,0.23231,0.54057,0.31082,0.88209,2.79654,0.82076,0.00101,0.00101,0.00101
52,2046.51,1.19988,0.61989,1.10184,0.99044,0.99074,0.99269,0.59639,0.87387,1.27658,0.75252,0.0009902,0.0009902,0.0009902
53,2078.21,1.2632,0.62445,1.14701,0.99959,1,0.995,0.63611,0.81768,1.26686,0.75093,0.0009704,0.0009704,0.0009704
54,2113.05,1.28933,0.62408,1.12877,0.99992,1,0.995,0.63266,0.82536,1.20813,0.74543,0.0009506,0.0009506,0.0009506
55,2147.92,1.18932,0.60747,1.10107,0.999,1,0.995,0.64003,0.84767,1.16004,0.75635,0.0009308,0.0009308,0.0009308
56,2183.25,1.18218,0.57267,1.11469,0.98972,1,0.99491,0.62853,0.90309,1.15761,0.78819,0.000911,0.000911,0.000911
57,2218.19,1.15174,0.60106,1.10317,0.99995,1,0.995,0.65118,0.83798,1.05577,0.74909,0.0008912,0.0008912,0.0008912
58,2252.26,1.18441,0.58063,1.1133,1,0.99932,0.995,0.66365,0.82841,1.11556,0.74622,0.0008714,0.0008714,0.0008714
59,2286.08,1.18876,0.5941,1.12504,0.99903,0.99074,0.995,0.6357,0.8599,1.92708,0.75673,0.0008516,0.0008516,0.0008516
60,2321.47,1.16072,0.56169,1.0966,0.9921,0.99074,0.995,0.63295,0.83329,3.48345,0.75685,0.0008318,0.0008318,0.0008318
61,2357.82,1.15698,0.54837,1.07249,0.99218,0.99074,0.995,0.62139,0.8472,1.61608,0.76048,0.000812,0.000812,0.000812
62,2393.65,1.18432,0.57099,1.08563,0.98931,1,0.995,0.64119,0.82118,1.26226,0.74709,0.0007922,0.0007922,0.0007922
63,2428.69,1.19953,0.57705,1.1317,0.99406,0.99074,0.995,0.63002,0.82104,1.27148,0.74549,0.0007724,0.0007724,0.0007724
64,2463.72,1.15766,0.52792,1.1001,0.95755,0.99074,0.99263,0.62748,0.86148,2.19386,0.75647,0.0007526,0.0007526,0.0007526
65,2498.38,1.1688,0.55924,1.09249,1,0.9993,0.995,0.64033,0.85306,0.92666,0.76057,0.0007328,0.0007328,0.0007328
66,2529.25,1.23875,0.57003,1.13148,1,0.99942,0.995,0.60897,0.90573,0.93307,0.77497,0.000713,0.000713,0.000713
67,2564.19,1.16166,0.5244,1.09212,0.99986,1,0.995,0.63335,0.87018,0.93041,0.7662,0.0006932,0.0006932,0.0006932
68,2599.29,1.14503,0.54718,1.0848,1,0.99954,0.995,0.636,0.84635,0.94598,0.75718,0.0006734,0.0006734,0.0006734
69,2633.98,1.18046,0.55728,1.11062,0.64706,0.91667,0.90428,0.54996,0.87798,2.3113,0.79311,0.0006536,0.0006536,0.0006536
70,2669.06,1.15127,0.53833,1.09832,1,0.99947,0.995,0.64711,0.80136,0.94961,0.7332,0.0006338,0.0006338,0.0006338
71,2703.84,1.14044,0.5423,1.09743,0.99992,1,0.995,0.63871,0.85151,0.96427,0.76306,0.000614,0.000614,0.000614
72,2738.85,1.16047,0.52871,1.08171,0.99074,0.99028,0.99037,0.64174,0.82536,0.89123,0.74449,0.0005942,0.0005942,0.0005942
73,2774.09,1.17901,0.53624,1.09745,0.9996,1,0.995,0.65322,0.81649,0.86377,0.74247,0.0005744,0.0005744,0.0005744
74,2810.46,1.15591,0.51684,1.0775,0.99773,0.99074,0.995,0.62453,0.88334,0.90278,0.76843,0.0005546,0.0005546,0.0005546
75,2846.7,1.16422,0.51776,1.0962,0.99783,0.99074,0.995,0.64108,0.84163,1.02551,0.74763,0.0005348,0.0005348,0.0005348
76,2883.15,1.17106,0.55599,1.1249,0.99949,1,0.995,0.66233,0.79408,1.03314,0.74273,0.000515,0.000515,0.000515
77,2919.16,1.15619,0.52936,1.11515,0.99656,0.99074,0.995,0.63767,0.82212,1.06482,0.74452,0.0004952,0.0004952,0.0004952
78,2955.4,1.14072,0.52092,1.06346,0.99951,1,0.995,0.63466,0.84893,0.88675,0.75125,0.0004754,0.0004754,0.0004754
79,2991.72,1.16849,0.51711,1.08879,1,0.99938,0.995,0.63563,0.81218,0.85366,0.74225,0.0004556,0.0004556,0.0004556
80,3027.12,1.14123,0.5541,1.09438,1,0.99957,0.995,0.60382,0.87025,0.90449,0.76091,0.0004358,0.0004358,0.0004358
81,3061.9,1.15669,0.53328,1.09648,0.99858,0.99074,0.995,0.61349,0.85601,0.98438,0.75514,0.000416,0.000416,0.000416
82,3096.85,1.13413,0.51456,1.07605,0.9956,0.99074,0.995,0.62083,0.85081,1.92405,0.75334,0.0003962,0.0003962,0.0003962
83,3131.87,1.13566,0.5282,1.0734,0.94251,0.99074,0.995,0.64166,0.82159,13.6812,0.74997,0.0003764,0.0003764,0.0003764
84,3166.89,1.11676,0.55446,1.06471,0.96693,0.99074,0.995,0.63696,0.81344,11.2855,0.74577,0.0003566,0.0003566,0.0003566
85,3202.52,1.1259,0.51005,1.07466,0.99895,0.99074,0.995,0.64538,0.80566,0.86158,0.73766,0.0003368,0.0003368,0.0003368
86,3237.69,1.11579,0.52125,1.06408,0.99972,1,0.995,0.64599,0.8021,0.77366,0.73878,0.000317,0.000317,0.000317
87,3273.84,1.13534,0.49772,1.06741,0.99962,1,0.995,0.64034,0.80613,0.74857,0.73928,0.0002972,0.0002972,0.0002972
88,3310.19,1.12383,0.52688,1.08216,0.99947,1,0.995,0.65159,0.81679,0.74649,0.7421,0.0002774,0.0002774,0.0002774
89,3346.61,1.14819,0.48607,1.09816,0.99974,1,0.995,0.6462,0.85497,0.75816,0.75676,0.0002576,0.0002576,0.0002576
90,3382.78,1.12968,0.51051,1.07741,0.99979,1,0.995,0.65363,0.83978,0.76124,0.75328,0.0002378,0.0002378,0.0002378
91,3418.16,1.12789,0.49399,1.09978,0.99953,1,0.995,0.65199,0.82174,0.78145,0.74688,0.000218,0.000218,0.000218
92,3452.86,1.08979,0.48687,1.11657,0.9994,1,0.995,0.65143,0.81463,0.80854,0.7512,0.0001982,0.0001982,0.0001982
93,3487.37,1.08763,0.45076,1.111,0.99946,1,0.995,0.64472,0.82788,0.83288,0.75927,0.0001784,0.0001784,0.0001784
94,3521.92,1.10758,0.46784,1.09509,0.98999,1,0.995,0.66123,0.80064,0.84233,0.74714,0.0001586,0.0001586,0.0001586
95,3556.42,1.07084,0.4577,1.09414,0.99032,1,0.995,0.65702,0.80041,0.85891,0.74641,0.0001388,0.0001388,0.0001388
96,3591.01,1.08588,0.44379,1.1229,0.99082,0.99976,0.995,0.63939,0.82495,0.86823,0.75102,0.000119,0.000119,0.000119
97,3625.48,1.09901,0.45014,1.08827,0.99082,0.9995,0.995,0.6426,0.82141,0.87001,0.75132,9.92e-05,9.92e-05,9.92e-05
98,3660.33,1.07245,0.46401,1.07206,0.99082,0.99969,0.995,0.6518,0.80976,0.86484,0.74933,7.94e-05,7.94e-05,7.94e-05
99,3688.18,1.11694,0.4481,1.10813,0.99082,0.99989,0.995,0.6499,0.8067,0.85618,0.74868,5.96e-05,5.96e-05,5.96e-05
100,3709.11,1.09947,0.43892,1.11411,0.99996,1,0.995,0.65253,0.80329,0.84795,0.74718,3.98e-05,3.98e-05,3.98e-05
